disthash,kutchas,puccas,university,unemployed,malaria,malaria_now,under_net,population,current_total,saturated,cost_per_completion,cost_per_message,CTR,CPM
80ed54cc,0.1568627450980392,0.5555555555555556,0.6601307189542484,0.43790849673202614,0.23529411764705882,0.013071895424836602,0.6274509803921569,1952756.0,153.0,False,71.42857142857143,20.408163265306,2.27159083,71.43367383
85769450,0.25,0.39015151515151514,0.6174242424242424,0.4696969696969697,0.11742424242424243,0.01893939393939394,0.5265151515151515,4092845.0,264.0,True,55.55555555555556,16.666666666667,1.76333807,64.5911381
89041198,0.20361990950226244,0.497737556561086,0.583710407239819,0.38009049773755654,0.08597285067873303,0.01809954751131222,0.5610859728506787,3260699.0,221.0,False,58.8235294117647,20.833333333333,1.94618957,68.28735318
8ce955f7,0.3359073359073359,0.39768339768339767,0.5752895752895753,0.42857142857142855,0.18146718146718147,0.023166023166023165,0.7065637065637066,1492073.0,259.0,True,58.8235294117647,12.345679012346,2.02780331,57.44485294
8ed5f728,0.2459016393442623,0.5327868852459017,0.6516393442622951,0.38524590163934425,0.10655737704918032,0.0,0.6680327868852459,4440895.0,244.0,False,28.571428571428573,11.363636363636,1.84453913,51.95884859
9565590d,0.26903553299492383,0.40609137055837563,0.6040609137055838,0.49746192893401014,0.07614213197969544,0.005076142131979695,0.7817258883248731,2031007.0,197.0,False,55.55555555555556,16.666666666667,1.69747018,65.53938917
9a766899,0.17488789237668162,0.5381165919282511,0.5605381165919282,0.4439461883408072,0.19730941704035873,0.0,0.5515695067264574,1625388.6,223.0,False,41.666666666666664,13.698630136986,1.67399173,64.63288521
9cbe05a0,0.20765027322404372,0.5136612021857924,0.5956284153005464,0.4371584699453552,0.10382513661202186,0.00546448087431694,0.5901639344262295,2205968.0,183.0,False,83.33333333333333,27.777777777778,1.70895609,57.93071487
a0530be6,0.2190082644628099,0.5289256198347108,0.5743801652892562,0.47520661157024796,0.1115702479338843,0.012396694214876033,0.5206611570247934,4772006.0,242.0,False,34.48275862068966,12.345679012346,2.19787303,64.45375443
b00c4734,0.4370860927152318,0.31788079470198677,0.5761589403973509,0.47019867549668876,0.31125827814569534,0.0,0.6225165562913907,658917.0,151.0,False,111.11111111111111,38.461538461538,1.64972056,67.33553296
b27404c2,0.18025751072961374,0.4678111587982833,0.6652360515021459,0.45064377682403434,0.351931330472103,0.017167381974248927,0.463519313304721,1868529.0,233.0,False,58.8235294117647,15.384615384615,1.69997405,64.88450558
b406895f,0.184,0.564,0.512,0.468,0.252,0.02,0.496,3499171.0,250.0,True,38.46153846153846,13.157894736842,1.78402086,59.26979611
b923577c,0.276,0.48,0.58,0.456,0.096,0.012,0.752,4021243.0,250.0,True,43.47826086956522,13.888888888889,2.1504,64.0
ba353231,0.3409090909090909,0.4590909090909091,0.5681818181818182,0.42727272727272725,0.17272727272727273,0.022727272727272728,0.5454545454545454,1493984.0,220.0,False,90.90636363636364,21.73847826087,1.66553992,61.45719378
c12daf4e,0.22077922077922077,0.49783549783549785,0.5757575757575758,0.4458874458874459,0.13852813852813853,0.008658008658008658,0.4935064935064935,1840221.0,231.0,False,43.47391304347826,14.923880597015,1.76494455,67.6156343
